x,y
0.0,[1.0016928]
0.041666666666666664,[0.9979379]
0.08333333333333333,[0.99468243]
0.125,[0.9905517]
0.16666666666666666,[0.98444307]
0.20833333333333331,[0.9755963]
0.25,[0.9635916]
0.29166666666666663,[0.94828486]
0.3333333333333333,[0.9297019]
0.375,[0.9079217]
0.41666666666666663,[0.88297]
0.4583333333333333,[0.85474455]
0.5,[0.8229786]
0.5416666666666666,[0.78724515]
0.5833333333333333,[0.7469934]
0.625,[0.7016108]
0.6666666666666666,[0.65049493]
0.7083333333333333,[0.59312344]
0.75,[0.52911246]
0.7916666666666666,[0.45825648]
0.8333333333333333,[0.38054645]
0.875,[0.2961684]
0.9166666666666666,[0.20548517]
0.9583333333333333,[0.10900867]
1.0,[0.00736329]
