x,Predicted y
0.0,1.0
0.041666666666666664,1.0098702
0.08333333333333333,1.0171909
0.125,1.0216999
0.16666666666666666,1.0231346
0.20833333333333331,1.0212322
0.25,1.0157295
0.29166666666666663,1.0063634
0.3333333333333333,0.99287003
0.375,0.97498596
0.41666666666666663,0.9524468
0.4583333333333333,0.9249886
0.5,0.89234716
0.5416666666666666,0.85425776
0.5833333333333333,0.81045604
0.625,0.7606772
0.6666666666666666,0.70465636
0.7083333333333333,0.64212906
0.75,0.5728301
0.7916666666666666,0.49649465
0.8333333333333333,0.41285795
0.875,0.3216549
0.9166666666666666,0.2226207
0.9583333333333333,0.11549074
1.0,0.0
